Questions,Answers
"What are Collision Reporting Centres, and what is their purpose?","Collision Reporting Centres are places where you are required to bring your vehicle within 24 hours after an accident. At these centres, your vehicle will be inspected, photographed, and you will receive assistance with completing a police report. The reports are not automatically sent to your insurance company unless requested."
"What should you do after being involved in an accident, regardless of the amount of damage caused?","You are required to report all accidents to your insurance company, regardless of the amount of damage. Even if you pay for the damages yourself, the accident will count against you if it was 100% your fault or if you were partially at fault."
"What can happen if you fail to report an accident to your insurance company, even if you were not at fault?","If you fail to report an accident to your insurance company, your insurance policy may be canceled or not renewed, even if you were not at fault for the accident."
What information should you gather after an accident?,"After an accident, you should write down the following information the licence plate, make, model, and year of the other car; the other driver's licence number, address, and telephone number; the name of the other driver's insurance company and their insurance policy number; and the names and phone numbers of witnesses to the accident."
What should you do if you are involved in an accident and are requested to provide your information?,"Upon request, you must provide your name, address, phone number, vehicle permit number, and insurance information to other drivers involved in the accident, police officers, or witnesses. However, you should be careful about what you say, avoid admitting anything, apologizing, or making statements to anyone except a police officer."
What should you do before accepting a payment or signing a release after an accident?,"Before accepting a payment or signing a release after an accident, you should contact your lawyer or an insurance agent for guidance."
What records should you keep after an accident?,"You should keep a record of your medical or mechanical expenses, damaged property, and injuries."
Why would someone choose to fight a traffic ticket?,"Someone might decide to fight a traffic ticket because being convicted of a traffic offence can have serious consequences, including affecting their driving record and potentially increasing their insurance rates."
What are some of the penalties that can be imposed for traffic offences?,"The penalties for traffic offences can include fines, demerit points, licence suspension, and even imprisonment."
What happens if you accumulate 15 or more demerit points?,"If you accumulate 15 or more demerit points, your licence will be suspended."
How can being convicted of a traffic offence affect your insurance premiums?,Being convicted of a traffic offence can cause your insurance premiums to go up.
What are some potential benefits of fighting a traffic ticket?,"By fighting a traffic ticket, you may be able to reduce the amount of the fine, get more time to pay it, have the ticket dismissed, or plead guilty to a less serious offence."
What factors should you consider when deciding whether to fight a traffic ticket?,"When deciding whether to fight a traffic ticket, you should consider whether you actually committed the offence you are charged with, whether you have a good excuse or reason for committing the offence, and whether that excuse is a legal defence. You should also learn about the specific offence you were charged with and explore any available legal defences."
Why should someone consult a lawyer if charged with a criminal driving offence?,It is advisable to consult a lawyer if charged with a criminal driving offence because they can provide legal guidance and defend you in court.
How can fighting a traffic ticket help protect your driving record?,"By fighting a traffic ticket, you may be able to avoid or minimize the penalties associated with a traffic offence, thereby protecting your driving record."
What is the purpose of learning about the offence you were charged with and its legal defences?,Learning about the offence you were charged with and its legal defences can help you assess the strength of your case and determine the best approach when fighting the traffic ticket.
When should you consider hiring a lawyer to represent you for a traffic ticket?,"You should consider hiring a lawyer if you could potentially lose your license, face jail time, or if you are charged with a serious criminal offense such as impaired driving or failing to remain at the scene of an accident. A lawyer can also help with plea bargaining or if you feel uncomfortable representing yourself."
What are the three types of Provincial Offence Notices covered in the Provincial Offences Act?,"The three types of Provincial Offence Notices are: Offence Notices (e.g., speeding tickets), Parking Infraction Notices (parking tickets), and Summons to appear at court."
How can you check the status of your ticket issued under the Provincial Offences Act?,"You can check the status of your ticket online at ontario.ca by providing the location code, offence number, and, in the case of a summons, the case number."
What are the options available if you receive an Offence Notice?,"If you receive an Offence Notice, you have three options: (1) sign the ticket and plead guilty, (2) plead guilty with an explanation, or (3) dispute the charge and choose the trial option."
What happens if you do not respond to an Offence Notice or fail to appear for trial?,"If you do not respond to the ticket within 15 days or fail to appear for trial, a conviction may be entered against you after a review by a justice of the peace, provided there are no fatal flaws in the ticket."
What are the options available if you receive a Parking Infraction Notice?,"If you receive a parking ticket, you can either (1) plead guilty by paying the fine or (2) request a trial date by following the instructions on the back of the ticket."
What should you do if you receive a summons?,"If you receive a summons, which requires you to attend court at a given date and time, it is advisable to contact a lawyer for assistance, especially if you have been charged with a serious offense."
What should you do to prepare your case if you decide to fight your ticket on your own?,"If you decide to represent yourself, you should start preparing your case immediately while the incident details are fresh in your mind. This includes learning about the section of the Highway Traffic Act you have been charged under, obtaining disclosure (information the prosecution has against you), and deciding whether you will call witnesses."
"What is plea bargaining, and when should you consider it?","Plea bargaining involves making a deal with the prosecutor to reduce the charge against you in exchange for pleading guilty to a lesser offense. It can result in a reduced fine and/or fewer demerit points. You should consider plea bargaining if you believe it may lead to a more favorable outcome in your case, and you can discuss this with the prosecutor."
What is the definition of careless driving?,Careless driving is when a driver operates a vehicle without reasonable care or attention to other drivers.
What are the penalties for careless driving?,"The penalties for careless driving include a fine ranging from $400 to $2,000, a possible six-month jail term, up to two years of license suspension, and six demerit points."
What is plea bargaining?,"Plea bargaining is a negotiation between the accused driver and the prosecutor to reduce the charge. For example, a charge of careless driving may be reduced to following too closely or changing lanes unsafely."
What is the penalty for careless driving causing bodily harm or death?,"The penalty for careless driving causing bodily harm or death includes a fine ranging from $2,000 to $50,000, a possible two-year jail term, up to five years of license suspension, six demerit points, and a mandatory driver improvement course."
What is dangerous driving?,Dangerous driving is a criminal offense under the Criminal Code of Canada. It involves driving in a manner that shows wanton or reckless disregard for the lives or safety of others.
What are the penalties for dangerous driving?,"If convicted on summary conviction, the maximum jail time for dangerous driving is up to two years less a day. If convicted on indictment, the driver could face imprisonment for up to 10 years. Additionally, a license suspension can be ordered by the court."
What is criminal negligence?,Criminal negligence is an offense under the Criminal Code and refers to acting or omitting to act in a manner that shows wanton or reckless disregard for the lives or safety of others.
What are the penalties for criminal negligence causing bodily harm or death?,Criminal negligence causing bodily harm while street racing is an indictable offense punishable by a jail term of up to 10 years. Criminal negligence causing death can result in a possible life imprisonment.
What happens to your license if convicted of dangerous driving or criminal negligence causing death?,"If convicted of dangerous driving or criminal negligence causing death, your license will be suspended according to the rules of the Ontario Highway Traffic Act. The suspension is for one year for the first conviction, and subsequent convictions can result in longer suspensions, potentially leading to a lifetime ban."
How long do driving convictions under the Criminal Code remain on your record?,Driving convictions under the Criminal Code remain on your driver's record for a minimum of 10 years.
What constitutes the offense of speeding?,Speeding occurs when a driver operates a vehicle at a speed above the legal limit.
Can driving too slowly and blocking traffic be considered an offense?,"Yes, driving so slowly that you block traffic is also considered an offense."
How are speeding tickets usually issued?,"Speeding tickets are typically the result of a police radar check, where the radar detects the driver exceeding the speed limit."
What is the main defense against a speeding ticket?,"The only possible defense against a speeding ticket is to argue that you were not speeding, suggesting that the evidence against you is incorrect."
How can you challenge a speeding ticket based on radar evidence?,"To challenge a speeding ticket based on radar evidence, you would need to argue that the radar measurement is flawed or mistaken. However, this can be difficult to defend yourself."
What is a plea bargain?,"A plea bargain is a negotiation between the accused driver and the prosecutor, where the driver agrees to plead guilty in exchange for a reduced charge. For example, the speeding ticket may be reduced to a lower speed."
What are the potential penalties for speeding convictions?,"If convicted of speeding, the usual penalty is a fine. Additionally, you may receive between three and six demerit points depending on the speed you were traveling over the posted speed limit."
How are demerit points determined for speeding offenses?,The number of demerit points you receive for a speeding offense depends on the speed you were traveling over the speed limit. It ranges from three points for going over the limit by 16 to 29 kilometers per hour to six points for exceeding the limit by 50 kilometers per hour or more.
What could happen if you are repeatedly convicted of speeding offenses?,"If you have multiple convictions for speeding offenses, your license could be suspended."
Where can you find more information about the penalties for speeding?,"For more information on the penalties for speeding, you can visit ontario.ca."
Who can provide additional information about the rules of the road and driver safety?,The Ministry of Transportation can provide more information regarding the rules of the road and driver safety.
What is the minimum level of automobile insurance required by law in Ontario?,"In Ontario, automobile owners are required by law to carry a minimum level of automobile insurance. The four types of insurance coverage required are Third Party Liability of $200,000, Uninsured Automobile coverage, Statutory Accident benefits, and Direct Compensation - Property Damage."
What does Third Party Liability insurance cover?,"Third Party Liability insurance covers the policyholder if the driver of their vehicle injures or kills someone, or damages someone else's property."
What does Uninsured Automobile coverage provide?,"Uninsured Automobile coverage provides protection to the policyholder if they are injured, their vehicle is damaged, or if they experience a hit-and-run incident involving an uninsured driver."
What benefits are included in Statutory Accident benefits?,"Statutory Accident benefits provide coverage for various benefits if the policyholder is injured or killed in an automobile accident. These benefits include income replacement, long-term disability, medical and rehabilitation expenses, attendant care, death and funeral benefits, and benefits for non-earners."
What does Direct Compensation - Property Damage coverage insure against?,Direct Compensation - Property Damage coverage insures the policyholder against damage to their vehicle and its contents caused by another vehicle. The amount of compensation depends on the degree of fault determined by the Fault Determination Rules.
What are some optional types of insurance coverage that can be purchased in addition to the mandatory coverage?,"Some optional coverage types include Increased Accident benefits, Collision or Upset coverage, Specified Perils and Comprehensive insurance, and All Perils insurance."
"How are insurance premiums affected by factors such as age, driving record, and vehicle model?","Insurance premiums are influenced by various factors, including age, sex, driving record, vehicle age and model, mileage, commercial or personal use of the vehicle, coverage amount, additional coverage types, and the location where the vehicle is parked overnight."
What is a deductible in automobile insurance?,"A deductible is the amount the policyholder pays before the insurance company covers the remaining balance of a loss. Higher deductibles generally result in lower insurance premiums, while lower deductibles lead to higher premium costs."
"What is a Certificate of Automobile Insurance, and what information does it contain?","A Certificate of Automobile Insurance is issued by the insurance company and provides details such as the insured vehicles, purchased coverages, premium rating information, and the coverage period."
"What is meant by the term ""no fault"" insurance?","No fault insurance, in the context of bodily injury, means that regardless of who caused the accident, the injured party deals with their own insurance company for compensation benefits. It allows for quicker access to benefits without having to determine fault."
How do insurance companies determine fault in an accident?,Insurance companies use Fault Determination Rules set out in the Insurance Act to assign degrees of fault to each driver involved in an accident. The assigned fault percentage may impact the at-fault driver's insurance premiums.
"Is ""no fault"" insurance applicable to claims for property damage?","No, ""no fault"" insurance does not apply to claims for property damage. Claims involving property damage are still based on fault, and coverage for at-fault accidents may depend on the purchased coverage types."
What should you do in the event of an automobile accident in Ontario?,"In Ontario, when involved in an automobile accident with injuries, suspected law violations, or property damage over $2,000, it is required by law to contact the police before leaving the accident scene. The police may instruct you to wait or direct you"
What offense is committed when a driver goes through a red light or a stop sign without stopping?,The driver has committed an offense under the Highway Traffic Act.
What does the prosecutor need to prove to establish the offense of failing to stop at a red light or a stop sign?,The prosecutor must prove that the light was red at the instant the driver entered the intersection or that the driver did not come to a complete stop at the stop sign.
When is a car considered to have entered an intersection?,A car is considered to have entered an intersection when any part of it crosses over the pedestrian walkway area of the intersection.
What are the two common defenses for fighting a ticket for failing to stop at a red light or a stop sign?,The two common defenses are: a) Arguing that you did stop at the stop sign or that the light was not red when you entered the intersection. b) Showing that there was an irregularity or misleading factor regarding the stop sign or the visibility of the light.
What evidence or witnesses can strengthen the defense argument for stopping at the stop sign or the light not being red?,"Credible witnesses or other evidence, such as surveillance footage, can strengthen the defense argument."
What can increase the chances of winning the case if the police officer does not show up in court to give evidence?,"If the police officer does not appear in court to provide evidence, it significantly increases the chances of winning the case."
What irregularity can be used as a defense for failing to stop at a red light or a stop sign?,"An irregularity, such as a blocked or obscured stop sign due to snow or a tree, can be used as a defense."
What are the penalties for failing to stop at a red light or a stop sign?,"The penalty for failing to stop is a fine and three demerit points. If convicted after fighting the ticket, the fine can range from $200 to $1,000. The conviction remains on the driver's record for three years."
What are the penalties for failing to stop for a school bus?,Failing to stop for a school bus incurs a fine and six demerit points.
Where can one seek more information regarding the rules of the road and driver safety?,"For more information, one can contact the Ministry of Transportation regarding the rules of the road and driver safety."
What are the legal obligations if you are involved in a motor vehicle accident?,"If you are involved in a motor vehicle accident, you are legally obligated to give your name, address, phone number, and insurance information to the people involved in the accident. You are also required to remain at the scene or immediately return to the scene, depending on the circumstances."
What is the charge under the Criminal Code for failing to stop after an accident?,"The charge under the Criminal Code is ""failure to stop after an accident."" To prove this charge, the Crown prosecutor needs to establish that the accused knew or was reckless about the vehicle's involvement in an accident and, without reasonable excuse, failed to stop the vehicle, provide their name and address, and offer assistance if someone appears to be injured."
What are the possible consequences if convicted under the Criminal Code for failing to stop after an accident?,"If convicted under the Criminal Code, the penalties can vary: Summarily (less serious): The maximum punishment is imprisonment for up to two years less a day. By indictment: The maximum punishment is imprisonment for up to ten years. The court may also order a license suspension, in addition to any other punishment. The conviction will result in a criminal record."
What obligations are imposed by the Highway Traffic Act for individuals involved in an accident?,"Under the Highway Traffic Act, every person in charge of a vehicle involved in an accident must remain at the scene or immediately return to the scene, render all possible assistance, and provide pertinent information upon request. This includes their name, address, driver's license number, vehicle liability insurance company name and policy number, and the name and address of the registered owner of the vehicle."
What are the penalties under the Highway Traffic Act for failing to remain or stop after an accident?,"Penalties under the Highway Traffic Act can include a fine ranging from $400 to $2,000, a maximum jail term of six months, or both. The offense also carries demerit points, and there is a possibility of a license suspension of up to two years."
"What is the requirement for reporting an accident, and what are the penalties for failure to report?","The law requires that accidents involving injuries or property damage exceeding $2,000 be reported. Failing to report an accident can result in a fine and demerit points"
What is the offence of driving too closely?,The offence of driving too closely is committed when a driver follows another vehicle at a distance that is not reasonable and prudent. The definition of a reasonable and prudent distance depends on the road conditions and the specific street or highway.
What section of Ontario's Highway Traffic Act covers the offence of driving too closely?,The offence of driving too closely is found under Section 158 of Ontario's Highway Traffic Act.
What are the potential penalties for driving too closely?,"The penalties for driving too closely can include a ticket or a summons (typically issued in more serious cases), a fine, four demerit points, and a thirty-day license suspension for G1, G2, M1, and M2 drivers. A conviction for this offence will stay on your driving record for three years and can affect your insurance rates."
What defence can be used for the charge of following too closely?,"One possible defence to the charge of following too closely is to argue that the distance you were following was reasonable. However, it is important to note that claiming brake failure as an excuse is usually met with skepticism by the court unless there is sufficient proof to support it."
What should you prepare if you want to fight a ticket for following too closely by arguing that you were following at a reasonable distance?,"If you want to fight a ticket for following too closely by asserting that you were following at a reasonable distance, you should prepare your argument. This includes knowing the distance between your vehicle and the one you were following, the actions you took to avoid an accident, the actions taken by the other vehicle that affected yours, and the time span involved. Gathering and presenting this information can strengthen your defense."
What is the law regarding driving without insurance in Ontario?,"Under the Compulsory Automobile Insurance Act of Ontario, it is illegal to drive a motor vehicle that is not insured. The law requires every motor vehicle insurance policy to include specific mandatory coverage, such as Third Party Liability coverage, Uninsured Automobile coverage, Statutory Accident Benefits coverage, and Direct Compensation - Property Damage coverage. It is the driver's responsibility to ensure they have proper insurance."
What must you do if asked by the police to show your insurance card?,"If you are stopped by the police, you must show them your insurance card upon their request. However, if you don't have the card with you, the police may, as a courtesy, allow you 48 hours to go to the police station and present your card. But they are not legally obligated to do so."
What are the penalties for driving without insurance in Ontario?,"Driving without insurance is a serious provincial offence in Ontario. The penalties for this offence include a fine of between $5,000 and $25,000 on a first conviction, and a fine of between $10,000 and $50,000 on a second or subsequent conviction. Your license could be suspended for up to one year, and your car could be impounded for up to three months. Additionally, under the Provincial Offences Act (POA), you are subject to a 25% victim fine surcharge in addition to the court-imposed fine."
What is the victim fine surcharge and where does the money go?,The victim fine surcharge is a fee imposed by the court under the Provincial Offences Act (POA). It amounts to 25% of the fine imposed by the court and is forwarded to the Province of Ontario. The funds generated from the victim fine surcharge are used to provide services that support victims of crime. It does not provide monetary compensation directly to the victims of accidents.
Can you defend yourself if charged with driving without insurance?,"It is very difficult to defend yourself if you are charged with driving without insurance. The fact that you thought you were insured or were unaware of the requirement to be insured is not a valid defense. However, such factors may potentially help in reducing the amount of the fine imposed. Additionally, if you are involved in an accident while uninsured, you may be personally responsible for paying for injuries and damages."
Under what circumstances can your driver's license be suspended?,"Your driver's license may be suspended by the Ministry of Transportation for various reasons, including non-payment of fines for driving offenses, accumulation of excessive demerit points, or conviction of criminal driving offenses such as driving while impaired."
What are the penalties for driving with a suspended license under the Highway Traffic Act?,"If you are convicted under the Highway Traffic Act for driving with a suspended license, the penalties vary based on the number of previous convictions. For a first offense, the judge can impose a fine ranging from $1,000 to $5,000, and a prison term of up to six months, or both. For subsequent offenses, the minimum fine is $2,000 up to a maximum of $5,000, and the judge can sentence you to up to six months in prison. Your license will also be suspended for an additional six months."
What are the penalties for driving with a suspended license under the Criminal Code?,"If your license was suspended due to a Criminal Code offense and you are convicted of driving with a suspended license, the penalties under the Highway Traffic Act are more severe. For a first offense, fines range from $5,000 to $25,000, and for subsequent offenses, fines range from $10,000 to $50,000."
What are the penalties under the Criminal Code for driving with a suspended license?,"If convicted of driving with a suspended license, known as ""operation while prohibited"" under section 320.18 (1) of the Criminal Code, the penalties can include a jail term of up to two years less a day for summary conviction (less serious offense) or imprisonment for up to 10 years if the Crown prosecutor proceeds by indictment (more serious offense)."
Is there an exception for driving with a suspended license if enrolled in an ignition interlock device program?,"Yes, if you are registered in an alcohol ignition interlock device program and complying with the program's conditions, you are allowed to drive while your license is suspended."
How does driving with a suspended license impact automobile insurance?,"If you drive with a suspended license and get into an accident, your automobile insurance policy will likely not cover damage to your vehicle. You may also be ineligible for certain benefits, such as income replacement benefits. Additionally, you may be personally liable for damages and injuries suffered by the other party involved in the accident."
How does the RCMP define distracted driving?,The RCMP defines distracted driving as a form of impaired driving where a driver's judgment is compromised due to not being fully focused on the road.
What are some examples of distracted driving?,"Examples of distracted driving include talking on a cell phone, texting, reading, applying makeup, watching a video, eating or drinking, driving while fatigued, and talking to passengers."
"What is the law regarding distracted driving in Ontario, Canada?","In Ontario, it is illegal to talk, text, dial, or email using hand-held phones and other hand-held communication and entertainment devices while driving. It is even illegal to simply hold a phone or device while driving. There are exceptions for emergencies and when lawfully parked or pulled off the road without impeding traffic."
What are the penalties for distracted driving in Ontario?,"The penalties for distracted driving in Ontario depend on the type of license held and the number of convictions. For fully licensed drivers, a first conviction can result in a fine of $615 if settled out of court or up to $1,000 if fought in court, three demerit points, and a 3-day license suspension. Subsequent convictions incur higher fines, more demerit points, and longer license suspensions. Novice drivers face fines and license suspensions without demerit points."
Can drivers use hand-held devices while stopped at a stop light?,"No, even when stopped at a stop light, using hand-held devices is not allowed unless the driver is lawfully parked or safely pulled off the road without impeding traffic."
Are there exceptions to the distracted driving laws?,"Yes, exceptions include using a hand-held or communication device to call 9-1-1 in an emergency or when lawfully parked or pulled off the road without impeding traffic. Emergency vehicle drivers in the performance of their duties are generally exempt from the legislation."
What are the potential consequences of distracted driving?,"Engaging in distracted driving activities can lead to slower reaction times, impaired judgment, falling asleep behind the wheel, and causing harm to oneself, passengers, and others on the road."
Can distracted driving lead to additional charges?,"Yes, if a driver endangers others due to distracted driving, they may also be charged with careless driving under the Highway Traffic Act or dangerous driving under the Criminal Code."
What is considered stunt driving according to the Ontario Highway Traffic Act?,"Stunt driving, as defined by the Ontario Highway Traffic Act, includes activities such as driving a vehicle in a manner that indicates an intention to lift some or all of its tires from the road, causing tires to lose traction while turning, spinning or circling a vehicle without maintaining control, driving two or more vehicles side by side for an extended period, driving with a person in the trunk, driving while not seated in the driver's seat, and driving at excessive speeds."
What is considered street racing according to the Ontario Highway Traffic Act?,"Street racing, as defined by the Ontario Highway Traffic Act, refers to driving two or more vehicles at a significantly higher speed than the lawful rate while indicating competition or chasing another vehicle."
What are the penalties for stunt driving or street racing in Ontario?,"Motorists convicted of stunt driving or street racing in Ontario face several penalties. These include an immediate 30-day roadside driver's license suspension, a 14-day vehicle impoundment, a minimum fine of $2,000 up to a maximum of $10,000, and/or imprisonment of six months. Additionally, six demerit points are added to the driver's record, and a mandatory driver improvement course must be taken upon conviction. The court may also impose a driver's license suspension, ranging from one to three years for a first conviction, three to ten years for a second conviction, an indefinite suspension with the possibility of reinstatement for a third conviction, and a permanent suspension for a fourth conviction within ten years."
Can drivers engaged in street racing or stunt driving face charges under the Criminal Code?,"Yes, drivers engaged in street racing or stunt driving can face charges under the Criminal Code in addition to the Ontario Highway Traffic Act. These charges may include offences such as Dangerous Driving or Criminal Negligence."
How are automobile accident compensation claims handled in Ontario?,"In Ontario, most automobile accident claims are handled through the individual's insurance company without involving a lawsuit."
What should I do after being involved in an automobile accident in Ontario?,Start by contacting the police while still at the scene and follow their instructions. They may direct you to a Collision Reporting Centre to report the accident and file the necessary paperwork for an insurance claim.
Can I sue the driver responsible for the accident for additional compensation?,"Yes, it may be possible to sue the at-fault driver for additional compensation beyond basic insurance coverage."
How is fault determined in an automobile accident in Ontario?,Fault is determined based on the Fault Determination Rules established under the Ontario Insurance Act.
What types of damages can be claimed in a lawsuit for an automobile accident in Ontario?,"In a lawsuit, you can claim damages such as pain and suffering, loss of enjoyment of life, future healthcare costs, and economic losses or out-of-pocket expenses not reimbursed by your insurer."
Is there a time limit for initiating a lawsuit after an automobile accident in Ontario?,"Yes, you generally need to notify the person being sued within 120 days of the accident and initiate the lawsuit within two years of the accident."
What options are available if no one involved in the accident has insurance?,"If you don't have auto insurance and no other driver involved has insurance, you may be eligible for accident benefits from Ontario's Motor Vehicle Accident Claims Fund (MVACF), which acts as the payer of last resort."
What does the Motor Vehicle Accident Claims Fund (MVACF) provide?,The MVACF provides statutory accident benefits directly to individuals involved in an automobile accident and compensation for personal injury or property damage to victims of uninsured accidents.
Does the MVACF take legal action against at-fault uninsured drivers?,"Yes, where legally permissible, the MVACF will pursue legal action against at-fault uninsured drivers to recover the amount paid out."
What should I do if I want to pursue a claim for an automobile accident in Ontario?,"It's recommended to consult with a lawyer who specializes in personal injury law to understand your rights, options, and the best course of action for your specific situation."
"What does ""no fault"" insurance mean in Ontario?","No fault insurance in Ontario means that your insurance company will pay your benefits under your policy regardless of whether you or the other driver caused the accident. It applies to compensation for bodily injury, not property damage."
"What is the benefit of a ""no fault"" insurance system for bodily injury?","The benefit is that you receive compensation for your injury more quickly, as you deal with your own insurance company for benefits, regardless of who caused the accident."
How do insurance companies determine fault in an accident?,Insurance companies determine the degree of fault assigned to each driver based on the Fault Determination Rules set out in the Ontario Insurance Act. These rules describe common collision scenarios and assign fault accordingly.
Can fault be shared in an accident?,"Yes, fault can be assigned anywhere between 0% to 100%, meaning fault can be shared, and in some cases, shared equally."
Does fault assignment affect insurance premiums?,"If a driver is more than 0% at fault, they will have an ""at-fault"" accident on their insurance record, and their premiums may increase. If not at fault, premiums will not be affected. Compensation for injuries will still be received in either case."
"Does the ""no fault"" insurance system apply to property damage claims?","No, the ""no fault"" system applies only to bodily injury claims. Property damage claims are still based on fault."
"If I am at fault for property damage in an accident, will I be covered?","If you have purchased additional coverage like ""all perils"" or ""collision,"" you will be covered for property damage regardless of fault, but your premiums may increase."
What coverage applies if the other driver is at fault for property damage?,"You will usually be covered under your Direct Compensation - Property Damage coverage or your Uninsured Automobile coverage, both of which are mandatory in Ontario."
Will making a claim for property damage affect my premiums if the other driver is at fault?,"No, if the other driver is at fault, your premiums will not increase as a result of making the claim."
What coverage is needed if the other driver cannot be identified in a property damage accident?,Optional Collision or All Perils coverage is required to be covered if the other driver cannot be identified.
What are the time restrictions for pursuing a claim in Ontario?,There are strict time limits for pursuing a claim in Ontario. Failure to file a claim or start a lawsuit within these limits can result in the loss of the right to sue.
When should you inform your insurance company about a motor vehicle accident?,"Within seven days of the accident, you must inform your insurance company about the accident."
When should you submit an accident benefits application for a motor vehicle accident?,You must complete and submit an accident benefits application within 30 days of the accident.
"What is the time limit for mediating, suing, or arbitrating against an insurance company if a benefit is denied?","If an insurance benefit is denied, you must mediate and sue, or arbitrate against the insurance company within two years of the accident."
What is the timeframe for giving notice and bringing a lawsuit against the at-fault driver?,You must give written notice of your claim within 120 days of the accident and bring your lawsuit within two years of the accident.
What is the time limit for launching a court action in cases involving loss or damage to a vehicle?,"For lawsuits involving loss or damage to a vehicle, a court action must be launched within one year of the accident."
What is the time limit for launching a court action against the provincial government for claims related to motor vehicle accidents?,"In cases involving claims against the provincial government, a court action must be launched within two years of the accident."
What is the process for filing a claim against a municipality in Ontario?,"For claims against a municipality, you must give written notice of your intention to sue within 10 days of the accident and file your lawsuit within two years of the accident."
"What does ""no fault"" insurance mean in Ontario?",No fault insurance means that your insurance company will pay your benefits regardless of who was responsible for causing the accident.
"Does ""no fault"" insurance cover property damage?","No, ""no fault"" insurance only applies to compensation for bodily injury, not property damage."
What are the two steps involved in filing a claim for accident benefits in Ontario?,The two steps are: notifying your insurance company within seven days of the accident and completing the accident benefit claim application.
What documents are typically required for the accident benefit claim application?,The application typically includes forms completed by your employer to verify loss of income and by a health professional to verify your injuries.
Is there a time limit for submitting the accident benefit claim application?,"Yes, the claim application must be submitted within 30 days of the accident."
What type of injuries qualify for compensation for pain and suffering?,"Permanent and serious injuries, whether physical or psychological, may qualify for compensation for pain and suffering."
How is the amount of compensation for pain and suffering determined?,The amount of compensation is determined by a judge based on medical evidence and may be subject to a deductible.
Are there any requirements for claiming loss of income benefits?,"Loss of income benefits can be claimed for both present and future loss of income and earning ability, and there is no requirement for the injuries to be serious or permanent."
What percentage of gross income lost can be claimed for loss of income benefits?,"You can claim up to 70% of the gross income you lost, starting seven days after the accident, with a maximum of $400 per week."
What are non-earner benefits and who is eligible for them?,Non-earner benefits are for individuals who were unemployed at the time of the accident and suffer a complete inability to carry on their normal activities. They may qualify for a benefit of $185 per week for up to two years.
"What is the maximum limit for medical, rehabilitation, and attendant care benefits for non-catastrophic injuries?","The maximum limit for these benefits for non-catastrophic injuries is $65,000."
"What injuries are considered ""catastrophic"" in terms of benefits coverage?","Injuries such as paralysis, limb loss, or complete loss of vision are examples of injuries considered ""catastrophic"" for benefits coverage."
What is the coverage for housekeeping and home maintenance expenses?,"If you suffer a catastrophic injury and are unable to maintain your home, you may claim reimbursement of expenses up to a maximum of $100 per week."
Who can make claims under the Family Law Act (FLA) in relation to automobile accidents?,"The injured person's spouse, children, grandchildren, parents, grandparents, and siblings can make claims under the FLA."
What damages can family members claim under the FLA?,"Family members may claim expenses paid for the injured person's benefit, loss of income, travel expenses, funeral expenses, compensation for providing caregiver services, and compensation for loss of guidance, care, and companionship."
